Name,Size,Error,Time,Memory
ex15,6867,6.42619057567449e-07,0.04500222206115723,11
cfd1,70656,9.957163065886396e-14,3.0583324432373047,471
shallow_water1,81920,2.373799686523732e-16,0.459033727645874,20.6
cfd2,123440,2.9932574303365287e-13,6.197139501571655,879.3
parabolic_fem,525825,1.0162544528272197e-12,3.1174378395080566,537.8
apache2,715176,4.3964762156792084e-11,13.461066246032715,1999.8
G3_circuit,1585478,3.5921807672120862e-12,17.352118015289307,2470.2
